Composer,Title,Difficulty,scorehash,xml_path,readable_path
Jorge Cardoso,24 Piezas Sudamericanas: 1. Cueca Chilena,9,Nf1wc,gaps_v1/musicxml/Nf1wc.xml,gaps_v1/readable_musicxml/Antonio Lauro - Cueca Chilena.xml
John Dowland,A Fancy,14,zD1wc,gaps_v1/musicxml/zD1wc.xml,gaps_v1/readable_musicxml/John Dowland - A Fancy (Fantasy).xml
Francisco Tarrega,Adelita (Mazurka),6,6Sswc,gaps_v1/musicxml/6Sswc.xml,gaps_v1/readable_musicxml/Francisco Tarrega - Adelita (Mazurka).xml
Francisco Tarrega,"Alborada, Capriccio",11,8M1wc,gaps_v1/musicxml/8M1wc.xml,gaps_v1/readable_musicxml/Johann Kaspar Mertz - Capriccio.xml
George Friedrich Handel,Allemande,10,jw1wc,gaps_v1/musicxml/jw1wc.xml,gaps_v1/readable_musicxml/Robert de Visee - Allemande from Lute suite in D minor.xml
Johann Kaspar Mertz,An Malvina,8,NY1wc,gaps_v1/musicxml/NY1wc.xml,gaps_v1/readable_musicxml/Johann Kaspar Mertz - An Malvina.xml
Fernando Sor,Andante,2,P41wc,gaps_v1/musicxml/P41wc.xml,gaps_v1/readable_musicxml/Johann Sebastian Bach - BWV 1003 Andante.xml
Agustin Barrios Mandore,Arabescos (Estudio No. 4),11,ff1wc,gaps_v1/musicxml/ff1wc.xml,gaps_v1/readable_musicxml/Francisco Tarrega - Estudio No 4.xml
J.S. Bach,Aria,5,Ck1wc,gaps_v1/musicxml/Ck1wc.xml,gaps_v1/readable_musicxml/Regino Sainz de la Maza - Romancillo de Maria Belen.xml
Isaac Albeniz,Asturias (Leyenda) (Theme),8,qV1wc,gaps_v1/musicxml/qV1wc.xml,gaps_v1/readable_musicxml/Isaac Albeniz - Asturias-Leyenda.xml
Anonymous,Ballet,5,Hk1wc,gaps_v1/musicxml/Hk1wc.xml,gaps_v1/readable_musicxml/Manuel Ponce - Ballet.xml
Jaime Mirtenbaum Zenamon,Bossa,3,-k1wc,gaps_v1/musicxml/-k1wc.xml,gaps_v1/readable_musicxml/Jorge Morel - Bossa in Re.xml
Leopold Mozart,Bourree,2,2D1wc,gaps_v1/musicxml/2D1wc.xml,gaps_v1/readable_musicxml/Johann Sebastian Bach - BWV996 Bourree in E Minor.xml
Agustin Barrios Mangore,Cancion de Cuna (Cradle Song),8,wpswc,gaps_v1/musicxml/wpswc.xml,gaps_v1/readable_musicxml/Sergio Assad - Cradle song.xml
Matteo Carcassi,Caprice,2,9D1wc,gaps_v1/musicxml/9D1wc.xml,gaps_v1/readable_musicxml/Luigi Legnani - Caprice No 29.xml
Francisco Tarrega,Capricho Arabe,13,241wc,gaps_v1/musicxml/241wc.xml,gaps_v1/readable_musicxml/Francisco Tarrega - Capricho Arabe-Senata.xml
Agustin Barrios Mandore,Contemplacion,13,lw1wc,gaps_v1/musicxml/lw1wc.xml,gaps_v1/readable_musicxml/Agustin Barrios Mangore - Contemplacion (Vals et Tremelo).xml
Silvius Leopold Weiss,Courante,6,ny1wc,gaps_v1/musicxml/ny1wc.xml,gaps_v1/readable_musicxml/Johann Sebastian Bach - BWV 995 Courante.xml
Hans Neusidler,Dance,1,QM1wc,gaps_v1/musicxml/QM1wc.xml,gaps_v1/readable_musicxml/Jorge Morel - Staccato Dance.xml
Agustin Barrios Mandore,Danza,8,-f1wc,gaps_v1/musicxml/-f1wc.xml,gaps_v1/readable_musicxml/Agustin Barrios - Danza Guarani.xml
Leo Brouwer,Danza Del Altiplano (Sobre un tema folklorico) (No.1 des Trois Pieces Latino-Americaines),9,ty1wc,gaps_v1/musicxml/ty1wc.xml,gaps_v1/readable_musicxml/Leo Brouwer - Danza del Altiplano.xml
Leo Brouwer,Dos Aires Populares Cubanos - II. Zapateado,9,VM1wc,gaps_v1/musicxml/VM1wc.xml,gaps_v1/readable_musicxml/Regino De La Maza - Zapateado.xml
Jose Ferrer,El Amable,4,BV1wc,gaps_v1/musicxml/BV1wc.xml,gaps_v1/readable_musicxml/Jose Ferrer y Esteve - El Amable.xml
Francisco Tarrega,Estudio,4,Dw1wc,gaps_v1/musicxml/Dw1wc.xml,gaps_v1/readable_musicxml/Antonio Lauro - Estudio en Imitaciones No 2.xml
Agustin Barrios Mandore,Estudio No. 3,7,7N1wc,gaps_v1/musicxml/7N1wc.xml,gaps_v1/readable_musicxml/Efran Silva - Estudio No. 3.xml
Leo Brouwer,Estudios Sencillos: I,4,Ly1wc,gaps_v1/musicxml/Ly1wc.xml,gaps_v1/readable_musicxml/Leo Brouwer - Estudios Sencillos.xml
Mauro Giuliani,Etude,8,7f1wc,gaps_v1/musicxml/7f1wc.xml,gaps_v1/readable_musicxml/Heitor Villa-Lobos - Etude No 3 In D.xml
John Dowland,Fantasia,12,pf1wc,gaps_v1/musicxml/pf1wc.xml,gaps_v1/readable_musicxml/Alonoso de Mudarra - Fantasia No 10.xml
John Dowland,Far[e]well,13,Nw1wc,gaps_v1/musicxml/Nw1wc.xml,gaps_v1/readable_musicxml/Sergio Assad - Farewell.xml
Leo Brouwer,Fuga No. 1,11,QN1wc,gaps_v1/musicxml/QN1wc.xml,gaps_v1/readable_musicxml/Leo Brouwer - Fuga No 1.xml
Francisco Tarrega,Lagrima,4,KM1wc,gaps_v1/musicxml/KM1wc.xml,gaps_v1/readable_musicxml/Joao Pernambuco - Lagrima.xml
Agustin Barrios Mandore,Las Abejas,10,Gw1wc,gaps_v1/musicxml/Gw1wc.xml,gaps_v1/readable_musicxml/Augustin Barrios Mangore - Las Abejas (The Bees).xml
Agustin Barrios Mandore,Luz Mala,9,w41wc,gaps_v1/musicxml/w41wc.xml,gaps_v1/readable_musicxml/Agustin Barrios Mangore - Luz Mala (Bad Light).xml
Agustin Barrios Mandore,Mabelita,8,YD1wc,gaps_v1/musicxml/YD1wc.xml,gaps_v1/readable_musicxml/Agustin Barrios - Mabelita (Little Mabel).xml
Agustin Barrios Mandore,Maxixe,10,8D1wc,gaps_v1/musicxml/8D1wc.xml,gaps_v1/readable_musicxml/Agustin Barrios - Maxixe.xml
Francisco Tarrega,Mazurka,6,vk1wc,gaps_v1/musicxml/vk1wc.xml,gaps_v1/readable_musicxml/Heitor Villa Lobos - Mazurka Choros.xml
Agustin Barrios Mandore,Milonga,13,xk1wc,gaps_v1/musicxml/xk1wc.xml,gaps_v1/readable_musicxml/Jorge Cardoso - Milonga (Uruguay)-24 Piezas Sudamericana.xml
J.S. Bach,Minuet,5,TV1wc,gaps_v1/musicxml/TV1wc.xml,gaps_v1/readable_musicxml/Agustin Barrios Mangore - Minuet in C.xml
Ludwig van Beethoven,Moonlight Sonata,12,y41wc,gaps_v1/musicxml/y41wc.xml,gaps_v1/readable_musicxml/Ludwig Van Beethoven - Moonlight Sonata.xml
Carlo Domeniconi,Nostalgia,2,T41wc,gaps_v1/musicxml/T41wc.xml,gaps_v1/readable_musicxml/Federico Moreno Torroba - Nostalgia.xml
J.S. Bach,"Partita for Lute, BWV 997: Sarabande",8,cw1wc,gaps_v1/musicxml/cw1wc.xml,gaps_v1/readable_musicxml/Johann Sebastian Bach - BWV997 Sarabande.xml
Gaspar Sanz,"Passacaglia D, con muchas diferencias para una y otra mano (Passacaglia in D [A minor] with Many Variations for Both Hands)",8,nD1wc,gaps_v1/musicxml/nD1wc.xml,gaps_v1/readable_musicxml/Lodovico Roncalli - Passacaglia.xml
Silvius Leopold Weiss,Passacaille,11,BM1wc,gaps_v1/musicxml/BM1wc.xml,gaps_v1/readable_musicxml/G. F. Handel - Suite N VII - Passacaille.xml
J.S. Bach,Prelude,9,141wc,gaps_v1/musicxml/141wc.xml,gaps_v1/readable_musicxml/Johann Sebastian Bach - BWV846 Prelude in C.xml
Leo Brouwer,Preludio,8,by1wc,gaps_v1/musicxml/by1wc.xml,gaps_v1/readable_musicxml/Augustn Barrios Mangore - La Catedral (preludio saudade).xml
Joaquin Turina,Rafaga,12,Lw1wc,gaps_v1/musicxml/Lw1wc.xml,gaps_v1/readable_musicxml/Joaqun Turina - Rafaga.xml
Francisco Tarrega,Recuerdos de la Alhambra,12,Sy1wc,gaps_v1/musicxml/Sy1wc.xml,gaps_v1/readable_musicxml/Francisco Tarrega - Recuerdos de la Alhambra.xml
Shawn Bell,Reverie,1,Rk1wc,gaps_v1/musicxml/Rk1wc.xml,gaps_v1/readable_musicxml/Rene Bartoli - Reverie.xml
Niccolo Paganini,Romance,10,SD1wc,gaps_v1/musicxml/SD1wc.xml,gaps_v1/readable_musicxml/Jorge Morel - Romance.xml
Napoleon Coste,Rondo,6,2pswc,gaps_v1/musicxml/2pswc.xml,gaps_v1/readable_musicxml/Francesco Molino - Rondo.xml
Francisco Tarrega,Rosita,9,vV1wc,gaps_v1/musicxml/vV1wc.xml,gaps_v1/readable_musicxml/Francisco Tarrega - Rosita.xml
Anonymous,Sarabande,4,g41wc,gaps_v1/musicxml/g41wc.xml,gaps_v1/readable_musicxml/Johann Sebastian Bach - BWV 1004 Sarabande.xml
Dimitri Kabalevsky,Scherzo,4,9k1wc,gaps_v1/musicxml/9k1wc.xml,gaps_v1/readable_musicxml/Johann Kaspar Mertz - Scherzo.xml
Lou Harrison,Serenade,4,dk1wc,gaps_v1/musicxml/dk1wc.xml,gaps_v1/readable_musicxml/Franz Schubert - Serenade.xml
Isaac Albeniz,Sevilla,14,j41wc,gaps_v1/musicxml/j41wc.xml,gaps_v1/readable_musicxml/Joaquin Turina - Sevillana.xml
Mateo Albeniz,Sonata,9,741wc,gaps_v1/musicxml/741wc.xml,gaps_v1/readable_musicxml/Niccol Paganini - Sonata No. 37 in A.xml
Domenico Scarlatti,Sonata in D (K. 414),10,ZSswc,gaps_v1/musicxml/ZSswc.xml,gaps_v1/readable_musicxml/Domenico Scarlatti - Sonata in D.xml
Napoleon Coste,Study in A,11,6f1wc,gaps_v1/musicxml/6f1wc.xml,gaps_v1/readable_musicxml/Matteo Carcassi - Study in A.xml
Heitor Villa-Lobos,Suite Populaire Bresilienne: 2.  Schottish - Choro,12,hM1wc,gaps_v1/musicxml/hM1wc.xml,gaps_v1/readable_musicxml/Heitor Villa-Lobos - Schottish Choro.xml
Isaac Albeniz,Tango,8,6D1wc,gaps_v1/musicxml/6D1wc.xml,gaps_v1/readable_musicxml/Astor Piazzolla - Tango final.xml
Agustin Barrios Mandore,Tua Imagem,10,s41wc,gaps_v1/musicxml/s41wc.xml,gaps_v1/readable_musicxml/Agustin Barrios - Tua Imagem.xml
Agustin Barrios Mandore,Un Sueno en la Floresta,16,fy1wc,gaps_v1/musicxml/fy1wc.xml,gaps_v1/readable_musicxml/Agustin Barrios Mangore - Sueno en la Floresta.xml
Francisco Tarrega,Vals,8,fw1wc,gaps_v1/musicxml/fw1wc.xml,gaps_v1/readable_musicxml/Bartolome Calatuyud - Vals.xml
Agustin Barrios Mandore,Vals de Primavera,9,6k1wc,gaps_v1/musicxml/6k1wc.xml,gaps_v1/readable_musicxml/Agustin Barrios - Vals de Primavera.xml
Napoleon Coste,Valse,7,sV1wc,gaps_v1/musicxml/sV1wc.xml,gaps_v1/readable_musicxml/Manuel Maria Ponce - Valse.xml
Mauro Giuliani,Waltz,2,F41wc,gaps_v1/musicxml/F41wc.xml,gaps_v1/readable_musicxml/Dilermando Reis - Eterna Saudade (Waltz).xml
